7 14
1 1 -0.797884560802865
1 2 1.00000000000000
1 3 -0.564189583547756
1 5 0.162867503967640
1 7 -0.0892062058076386
1 9 0.0596034033761120
1 11 -0.0439792525587995
1 13 0.0344511233825375
2 1 0.325735007935280
2 3 -0.690988298942671
2 4 1.00000000000000
2 5 -0.598413420602149
2 7 0.182091405098680
2 9 -0.102198547643328
2 11 0.0692528965958894
2 13 -0.0515702448267620
3 1 -0.218509686118416
3 3 0.257516134682126
3 5 -0.669046543557289
3 6 1.00000000000000
3 7 -0.610753139878650
3 9 0.190435749776861
3 11 -0.108397929099021
3 13 0.0741307969600372
4 1 0.168583882836184
4 3 -0.166889529453114
4 5 0.240884286886713
4 7 -0.659688788381993
4 8 1.00000000000000
4 9 -0.617082357005358
4 11 0.195138575204209
4 13 -0.112098577001675
5 1 -0.139074607877595
5 3 0.126437912127138
5 5 -0.153297821464992
5 7 0.233235207868822
5 9 -0.654514678783600
5 10 1.00000000000000
5 11 -0.620927144090899
5 13 0.198164159898117
6 1 0.119342192152758
6 3 -0.103140489653524
6 5 0.114842936826923
6 7 -0.146771489830575
6 9 0.228820262121828
6 11 -0.651233882791557
6 12 1.00000000000000
6 13 -0.623508972874051
7 1 -0.105105246952602
7 3 0.0878334751963757
7 5 -0.0929695810055610
7 7 0.109117578596892
7 9 -0.142898207894381
7 11 0.225941905251250
7 13 -0.648968714596981
7 14 1.00000000000000
