10 21
1 1 -0.797884560802865
1 2 1.00000000000000
1 3 -0.564189583547756
1 5 0.162867503967640
1 7 -0.0892062058076386
1 9 0.0596034033761120
1 11 -0.0439792525587995
1 13 0.0344511233825375
1 15 -0.0280905588320645
1 17 0.0235720910841532
1 19 -0.0202129013489131
1 21 0.0176272993342950
2 1 0.325735007935280
2 3 -0.690988298942671
2 4 1.00000000000000
2 5 -0.598413420602149
2 7 0.182091405098680
2 9 -0.102198547643328
2 11 0.0692528965958894
2 13 -0.0515702448267620
2 15 0.0406589983848392
2 17 -0.0333113049961062
2 19 0.0280564002314289
2 21 -0.0241288202745342
3 1 -0.218509686118416
3 3 0.257516134682126
3 5 -0.669046543557289
3 6 1.00000000000000
3 7 -0.610753139878650
3 9 0.190435749776861
3 11 -0.108397929099021
3 13 0.0741307969600372
3 15 -0.0555599515078390
3 17 0.0440146568671265
3 19 -0.0361938566085091
3 21 0.0305737533320824
4 1 0.168583882836184
4 3 -0.166889529453114
4 5 0.240884286886713
4 7 -0.659688788381993
4 8 1.00000000000000
4 9 -0.617082357005358
4 11 0.195138575204209
4 13 -0.112098577001675
4 15 0.0771577797725184
4 17 -0.0581059881284756
4 19 0.0462018029426718
4 21 -0.0381039552927518
5 1 -0.139074607877595
5 3 0.126437912127138
5 5 -0.153297821464992
5 7 0.233235207868822
5 9 -0.654514678783600
5 10 1.00000000000000
5 11 -0.620927144090899
5 13 0.198164159898117
5 15 -0.114573457526737
5 17 0.0792394808782953
5 19 -0.0598942816336477
5 21 0.0477635928147191
6 1 0.119342192152758
6 3 -0.103140489653524
6 5 0.114842936826923
6 7 -0.146771489830575
6 9 0.228820262121828
6 11 -0.651233882791557
6 12 1.00000000000000
6 13 -0.623508972874051
6 15 0.200276093365814
6 17 -0.116349896137392
6 19 0.0807655532556403
6 21 -0.0612270740454678
7 1 -0.105105246952602
7 3 0.0878334751963757
7 5 -0.0929695810055610
7 7 0.109117578596892
7 9 -0.142898207894381
7 11 0.225941905251250
7 13 -0.648968714596981
7 14 1.00000000000000
7 15 -0.625361901098279
7 17 0.201834685692187
7 19 -0.117688834298236
7 21 0.0819349188989436
8 1 0.0942883643366128
8 3 -0.0769291636262386
8 5 0.0787358118089783
8 7 -0.0878479967266388
8 9 0.105652641171060
8 11 -0.140323254503473
8 13 0.223915479517027
8 15 -0.647311065109173
8 16 1.00000000000000
8 17 -0.626756243745903
8 19 0.203032528170905
8 21 -0.118734977843307
9 1 -0.0857560776676270
9 3 0.0687238645863046
9 5 -0.0686730145130556
9 7 0.0740877073983095
9 9 -0.0847033053948984
9 11 0.103315642865758
9 13 -0.138484075988930
9 15 0.222410991173016
9 17 -0.646045548619932
9 18 1.00000000000000
9 19 -0.627843419313627
9 21 0.203982022959719
10 1 0.0788316791424409
10 3 -0.0623003460579352
10 5 0.0611475066641648
10 7 -0.0644074398753087
10 9 0.0712017602555549
10 11 -0.0825585698009622
10 13 0.101627759192188
10 15 -0.137103342840115
10 17 0.221249568137138
10 19 -0.645047794281474
10 20 1.00000000000000
10 21 -0.628714819343417
